rental_id,price,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
1239,4250000,2,2,1244,1,6,9,0,0,1,1,1,0,0,0,Soho,Manhattan
2295,5000000,2,2,1508,1,7,89,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
3466,1887500,1,1,600,0,2,56,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
11163,2175000,1,1,880,7,14,16,0,0,0,1,0,0,0,0,Upper West Side,Manhattan
5852,1997500,1,1,899,1,14,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
3458,2497500,2,2,1153,43,16,9,0,0,0,0,0,0,0,0,Roosevelt Island,Manhattan
4076,3597500,5,2,2430,5,5,96,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
500,3800000,2,2,1500,5,9,2,0,0,0,0,0,0,0,0,Tribeca,Manhattan
960,1497500,1,1,350,1,5,116,0,0,0,0,0,0,0,0,West Village,Manhattan
6080,2245000,1,1,620,4,29,16,1,0,0,0,0,0,0,0,Chelsea,Manhattan
7072,1725000,3,2,1800,2,5,101,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
8996,1900000,1,1,700,13,19,9,1,1,0,1,1,0,0,1,Midtown West,Manhattan
11177,7331000,4,3,1732,4,10,113,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
2894,1287500,0,1,490,3,8,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
10706,1875000,1,1,700,3,5,90,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
8378,3347500,2,2,1033,2,17,30,0,0,0,1,0,0,0,0,Flatiron,Manhattan
3842,2750000,1,1,1165,5,22,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
7418,2737500,1,1,1094,2,38,30,0,1,1,1,1,1,0,1,Midtown,Manhattan
10549,2455000,2,2,933,10,10,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
10485,2575000,1,1,695,3,18,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
2474,2475000,1,1,1115,5,2,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
6356,2612500,1,1,770,3,11,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
7024,6875000,3,3,1920,43,8,8,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
292,2250000,1,1,755,7,43,6,0,0,0,0,0,0,0,0,Midtown South,Manhattan
5416,1100000,1,1,675,4,4,88,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
7667,2000000,1,1,840,10,40,30,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
7220,2150000,0,1,559,3,24,11,1,0,0,0,0,0,0,0,Flatiron,Manhattan
428,1375000,1,1,730,5,3,9,0,0,0,0,0,0,0,0,East Harlem,Manhattan
5671,2560000,2,2,1003,10,7,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
2409,2947500,2,2,1200,2,18,13,1,0,0,0,0,0,0,0,Financial District,Manhattan
1935,5861500,3,2,1540,1,8,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
6553,2135000,1,1,630,2,12,13,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
4977,1497500,0,1,548,2,11,13,0,0,1,0,0,1,0,0,Financial District,Manhattan
7800,1075000,1,1,687,4,2,96,0,0,0,0,0,0,0,0,Hamilton Heights,Manhattan
1122,1750000,1,1,651,6,34,37,1,0,0,1,0,0,0,0,Midtown East,Manhattan
7889,1075000,1,1,650,7,2,115,0,1,0,1,1,0,1,1,Midtown West,Manhattan
7731,1175000,0,1,400,5,16,30,0,0,1,1,1,0,0,1,Midtown East,Manhattan
9184,2249500,2,1,837,6,14,37,0,0,0,1,1,1,0,1,Midtown East,Manhattan
8612,1907500,1,1,665,8,23,16,1,0,0,0,0,0,0,0,Midtown East,Manhattan
2008,1600000,2,1,850,7,3,60,0,1,0,1,1,1,1,1,Midtown East,Manhattan
11007,812500,1,1,560,6,2,96,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
3874,1750000,1,1,722,12,32,32,0,0,0,0,0,0,0,0,Midtown East,Manhattan
9498,1747500,1,1,686,10,34,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
5886,1012500,0,1,350,3,4,90,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1334,1350000,3,1,750,2,1,112,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
5095,1775000,1,1,748,6,9,10,0,1,0,0,0,1,1,0,Upper West Side,Manhattan
3698,3000000,1,1,1500,2,2,151,0,0,0,0,0,0,0,0,Tribeca,Manhattan
2940,2375000,2,2,917,3,4,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1751,1400000,0,1,520,2,24,9,0,0,0,1,1,0,0,0,Midtown West,Manhattan
5128,2500000,1,1,707,2,5,8,0,1,0,1,1,1,0,0,Chelsea,Manhattan
4967,1750000,2,2,1050,5,4,96,0,0,1,0,0,1,0,0,Central Harlem,Manhattan
3137,3400000,2,2,1295,11,34,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
5939,1387500,0,1,500,3,22,30,1,0,0,0,0,0,0,0,Midtown,Manhattan
3037,3950000,2,2,1160,2,9,75,1,0,0,0,0,0,0,0,Central Park South,Manhattan
4290,1997500,1,1,800,3,5,27,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
11237,4975000,1,2,2050,3,4,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
1510,1700000,1,1,800,7,3,16,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1225,1650000,1,1,725,4,5,91,0,1,1,1,1,1,0,0,Upper West Side,Manhattan
9369,5500000,2,2,3000,0,2,116,0,0,0,1,1,1,0,0,Soho,Manhattan
3095,1625000,2,1,850,5,3,116,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
10058,2850000,2,2,1176,12,2,7,0,1,0,0,0,0,0,0,Chelsea,Manhattan
1861,3623000,2,2,1080,1,10,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1034,2844000,2,2,1260,7,7,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
2450,3175000,1,2,1352,1,2,126,1,0,0,0,0,0,0,0,Tribeca,Manhattan
6690,1400000,0,1,351,1,2,29,0,0,0,0,0,0,0,0,Midtown West,Manhattan
583,2870000,1,1,761,5,15,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
4717,1750000,2,2,1031,3,6,13,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
11262,6250000,3,3,2500,5,6,96,0,0,0,0,0,0,0,0,Midtown West,Manhattan
6266,1347500,0,1,625,9,7,8,1,1,1,0,0,1,0,0,Midtown West,Manhattan
7236,1447500,0,1,506,2,18,41,0,0,0,1,1,0,0,0,Upper East Side,Manhattan
4725,8250000,2,2,1895,9,4,1,0,0,0,0,0,0,0,0,Chelsea,Manhattan
4937,2500000,1,1,764,2,20,38,1,0,1,1,0,1,0,0,Midtown West,Manhattan
574,3300000,2,2,1100,2,12,92,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
7665,1745000,2,2,800,6,4,106,0,0,0,1,0,0,0,0,Gramercy Park,Manhattan
10770,2400000,2,2,1000,3,8,96,0,0,0,1,1,0,0,0,Midtown South,Manhattan
3136,2025000,1,1,805,11,20,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
750,2925000,1,1,752,3,33,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
7782,1150000,1,1,650,3,3,76,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
2660,1637500,0,1,480,4,9,86,0,0,0,0,0,0,0,0,Chelsea,Manhattan
4674,2047500,1,1,713,4,9,19,1,0,0,0,0,1,0,0,Upper East Side,Manhattan
3595,1497500,2,1,800,3,2,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5881,2950000,2,2,1076,5,11,30,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
10368,1960000,1,1,718,4,4,16,1,1,1,1,1,1,0,1,Chelsea,Manhattan
76,2397500,1,1,707,7,10,16,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
8862,1900000,1,1,600,2,14,9,1,0,0,0,0,0,0,0,Financial District,Manhattan
3978,6250000,3,3,1833,5,14,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
17,2500000,1,1,805,4,4,9,0,1,1,1,1,1,0,1,Flatiron,Manhattan
4630,2182500,0,1,619,3,37,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
10804,1975000,1,1,899,1,3,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
5030,2000000,1,1,740,2,17,14,1,0,0,0,0,0,0,0,Midtown South,Manhattan
3200,1952500,1,1,809,7,26,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
461,2000000,1,1,700,3,4,62,0,0,1,1,1,0,0,0,West Village,Manhattan
874,1375000,0,1,475,1,5,25,0,0,0,0,1,0,0,1,Upper West Side,Manhattan
9903,1815500,1,1,707,3,1,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV,Manhattan
9566,1047500,0,1,410,8,2,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
7532,3997500,2,2,852,3,6,106,0,0,0,0,0,0,0,0,Soho,Manhattan
8562,1497500,0,1,579,4,2,55,0,1,0,1,1,0,1,1,Upper West Side,Manhattan
137,9225000,2,2,830,2,7,29,1,1,1,1,1,1,0,1,Upper East Side,Manhattan
919,2125000,1,1,800,13,46,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
4111,2497500,1,1,972,7,10,6,0,0,1,0,0,0,0,0,Gramercy Park,Manhattan
10528,2100000,0,1,530,1,17,90,0,0,0,0,1,0,0,0,Chelsea,Manhattan
210,2150000,1,1,700,5,9,37,0,0,0,1,1,1,0,0,Upper West Side,Manhattan
1543,7000000,2,2,2000,4,55,33,0,0,0,1,1,0,0,0,Midtown,Manhattan
1432,4125000,2,2,1406,4,3,11,0,0,0,1,1,1,0,1,Soho,Manhattan
2069,1975000,1,1,750,2,2,106,0,0,1,1,1,0,0,0,Chelsea,Manhattan
10349,2997500,1,2,1815,4,1,96,0,0,0,1,1,0,0,1,Financial District,Manhattan
9154,2392500,1,1,823,5,17,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
6221,2400000,2,2,1150,12,35,27,1,1,0,1,1,1,1,1,Midtown East,Manhattan
3610,1797500,1,1,620,11,9,31,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
6352,2250000,2,2,1041,10,6,27,0,0,0,0,1,1,0,0,Midtown East,Manhattan
3560,2707500,1,1,767,2,29,8,1,0,0,0,0,0,0,0,Midtown South,Manhattan
2524,2750000,1,1,1145,4,2,11,0,0,0,1,1,0,0,1,Soho,Manhattan
6158,1850000,2,1,850,4,4,53,0,0,0,1,0,0,0,0,Upper East Side,Manhattan
7122,850000,1,1,400,8,3,5,0,0,0,0,0,0,0,0,East Harlem,Manhattan
5981,1399500,0,1,750,3,3,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1704,4650000,3,3,1800,3,12,100,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
4626,2495000,1,1,643,3,32,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
7027,3897500,3,2,1266,1,5,43,0,0,0,0,0,0,0,0,Chelsea,Manhattan
4317,3000000,2,2,900,1,26,31,0,0,1,0,0,0,0,0,Flatiron,Manhattan
8711,1225000,0,1,450,2,10,93,0,0,0,0,0,0,0,0,Midtown East,Manhattan
2710,3500000,4,3,2200,6,16,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
6035,1625000,0,1,570,2,3,86,1,0,0,0,0,0,0,0,Midtown West,Manhattan
3332,2747500,1,1,860,2,19,30,1,0,0,0,0,0,0,0,Flatiron,Manhattan
3828,2025000,1,1,834,2,6,58,0,1,1,0,1,1,0,0,Midtown East,Manhattan
10031,1950000,1,1,720,4,8,7,0,0,0,0,0,0,0,0,Tribeca,Manhattan
8229,1597500,1,1,574,2,11,99,1,0,0,1,1,0,0,1,Upper West Side,Manhattan
7471,1500000,1,1,496,2,4,28,0,0,0,0,0,0,0,0,Midtown West,Manhattan
9496,1850000,1,1,642,10,32,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
6312,3975000,2,2,1280,2,45,38,0,0,0,0,0,0,0,0,Midtown West,Manhattan
7680,1497500,1,1,610,2,19,29,0,0,0,0,1,1,0,0,Battery Park City,Manhattan
6727,1300000,0,1,437,12,3,8,0,0,1,0,0,1,1,0,Midtown West,Manhattan
247,1047500,0,1,410,8,2,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
9660,2834000,2,2,1022,4,21,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
118,3997500,3,2,1518,3,4,31,1,0,0,0,1,0,0,0,Battery Park City,Manhattan
2147,1595000,1,1,650,6,1,106,0,0,0,0,0,0,0,0,East Village,Manhattan
2896,1150000,1,1,400,12,2,106,0,0,0,0,0,0,0,0,East Village,Manhattan
479,2475000,2,2,917,3,9,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1465,1550000,1,1,475,3,2,116,0,0,0,0,0,0,0,0,West Village,Manhattan
5799,3200000,3,2,1300,11,4,17,1,1,1,1,1,1,0,1,Chelsea,Manhattan
8705,1975000,1,1,800,2,10,8,0,1,1,0,0,1,0,0,Financial District,Manhattan
3291,2200000,1,1,500,3,2,106,0,0,0,0,0,0,0,0,Soho,Manhattan
2466,3225000,2,2,1025,6,3,2,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
5009,1550000,1,1,757,4,18,19,0,1,0,1,0,0,1,0,Upper West Side,Manhattan
10181,3850000,2,2,1175,2,36,6,0,0,0,1,0,0,0,0,Financial District,Manhattan
8548,9125000,4,4,2700,2,4,85,0,1,0,0,1,1,0,1,Upper West Side,Manhattan
78,6750000,3,3,1868,43,32,8,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
8656,2890000,3,2,1300,2,12,38,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1732,3400000,2,2,1280,3,35,11,0,0,1,1,1,1,1,1,Midtown South,Manhattan
1583,1650000,2,1,750,12,3,96,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
3664,2750000,2,1,1000,3,5,101,0,0,0,0,0,0,0,0,Tribeca,Manhattan
4534,875000,2,1,500,4,1,100,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
3314,4250000,2,2,1478,9,54,15,0,0,0,0,0,0,0,0,Midtown East,Manhattan
2272,1325000,0,1,482,6,30,28,0,0,0,0,0,0,0,0,Midtown East,Manhattan
4594,1850000,1,1,763,3,6,31,0,0,0,1,1,1,0,1,Battery Park City,Manhattan
6371,3000000,1,1,923,1,34,51,0,0,1,1,0,0,0,0,Greenwich Village,Manhattan
3901,2572500,2,2,1038,7,17,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
146,1300000,1,1,525,2,5,115,0,0,0,1,0,0,0,0,Midtown,Manhattan
8023,800000,0,1,550,7,3,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
2584,1529000,0,1,533,4,19,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
5653,2237500,0,1,583,8,12,10,0,0,0,1,1,0,1,1,Chelsea,Manhattan
1827,2475000,1,1,927,3,32,29,1,1,1,1,1,1,0,0,Financial District,Manhattan
10940,1966000,1,1,678,4,9,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
1511,1500000,1,1,730,2,7,53,0,0,0,1,0,0,0,0,Midtown,Manhattan
1767,2575000,3,1,910,9,31,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
6093,1725000,1,1,750,2,7,96,0,0,0,0,0,0,0,0,Midtown South,Manhattan
6174,1125000,2,1,750,7,4,102,1,0,0,0,0,1,0,0,Hamilton Heights,Manhattan
3366,2130000,2,1,958,10,30,27,1,0,1,0,0,1,0,0,Midtown East,Manhattan
5068,2187500,1,1,668,2,23,16,1,0,1,0,0,0,0,0,Flatiron,Manhattan
1306,5497500,3,3,1800,7,30,9,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
2468,1450000,1,1,600,12,16,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan
1102,2100000,1,1,690,7,6,6,0,0,1,1,0,0,0,0,Gramercy Park,Manhattan
3751,3750000,3,2,1425,3,6,54,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
3289,1832500,1,1,674,4,8,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
54,1900000,3,2,1100,5,6,96,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
10552,1497500,1,1,800,4,1,66,0,0,0,0,0,0,0,0,Midtown East,Manhattan
2361,1967500,1,1,752,6,4,14,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
5077,1247500,0.5,1,500,6,4,96,0,1,1,1,1,1,0,1,Midtown East,Manhattan
1128,1700000,1,1,636,4,5,31,1,1,0,0,0,0,0,0,Upper West Side,Manhattan
4672,2767500,2,2,971,8,25,16,1,1,0,1,1,1,1,1,Midtown East,Manhattan
2593,1800000,1,1,643,3,13,8,0,0,0,0,0,0,0,0,Midtown South,Manhattan
4496,2720000,2,2,1120,3,14,30,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
6774,975000,0,1,400,6,7,75,0,1,1,0,0,0,0,0,Upper East Side,Manhattan
1019,2050000,1,1,600,6,24,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
532,1100000,0,1,275,1,3,116,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
3307,3500000,2.5,2,1367,3,20,29,1,0,0,1,1,1,1,1,Financial District,Manhattan
10327,2347500,2,2,1033,4,2,108,1,0,0,0,0,0,0,0,Financial District,Manhattan
4966,2650000,1,1,855,1,11,8,0,1,0,0,1,0,0,0,Flatiron,Manhattan
4184,3950000,2,2,1025,6,5,2,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
866,1800000,1,1,648,4,4,2,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
3240,975000,2,1,900,3,5,91,0,0,0,0,0,0,0,0,Inwood,Manhattan
10276,3750000,2,2,1600,2,3,116,0,0,0,0,0,0,0,0,Soho,Manhattan
4125,2575000,1,1,719,4,6,9,0,0,1,1,1,1,0,1,Upper West Side,Manhattan
4000,2365000,2,2,829,3,21,15,1,0,0,0,0,0,0,0,Financial District,Manhattan
8349,730000,0,1,305,5,3,57,1,0,0,0,0,0,0,0,Central Harlem,Manhattan
3343,2650000,1,2,1141,6,5,113,0,0,0,1,0,0,0,0,Gramercy Park,Manhattan
3034,4997500,3,3,1947,1,8,90,0,0,0,0,0,0,0,0,Midtown,Manhattan
8905,1975000,1,1,679,1,6,29,0,0,0,0,0,0,0,0,Tribeca,Manhattan
4832,1342500,1,1,550,3,10,53,0,0,0,0,1,0,0,0,Midtown East,Manhattan
7751,1347500,1,1,700,2,5,106,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
2685,1750000,1,1,625,4,19,42,0,0,1,1,1,0,0,1,Upper East Side,Manhattan
9348,2000000,2,1,1024,2,16,51,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
3607,7000000,2,2,2556,1,2,132,0,0,0,0,0,0,0,0,Soho,Manhattan
9474,4975000,1,1,1238,2,2,3,0,0,0,0,0,0,0,0,West Village,Manhattan
